,Product,Consumer complaint narrative
549162,Credit card,"I recently opened an account with citi simplicity and made a balance transfer to XXXX XXXX XXXX. The representative I spoke with, apparently mailed the check to the wrong address. I was told it was mailed on XXXX/XXXX/2015. 10 days have passed, the transfer was still not processed. I kept calling citibank for an update they keep saying it should be posted soon. Today, I called XXXX XXXX XXXX to verify if they have received the check. Still no check up to date, they advised me to ask citibank what address the check was mailed to, because they might have mailed it to a wrong address. So I called citibank to verify the address they mailed the check to, and indeed, the check was mailed to the wrong address. Now they have to cancel the transfer and wait 2-4 business days for the completion of cancellation, and then wait another 7-10 days to receive the check. Which now puts me to another 2weeks of waiting. I asked them to trace the check to see if they can forward the check to the right address, but I got no help. 7-10 days processing turned into a month of processing. It was their fault at the first place for not verifying the correct address. But now I 'm the one who 's receiving all the inconvenience. They should have a way to expedite the process for inconvenience like this. But I did not get the help that I need."
567811,Debt collection,"A claim was filed on the original creditor XXXX XXXX for breach of contract, the vendor agreed to settle the dispute for {$240.00} per the resolution terms through the XXXX. Perfection Collections provided no written notice that this was referred to their offices. I learned of the issue because of credit file alert on XXXX/XXXX/16. I contacted the debit collection agency to try and get information. I was accused of ignoring the debit and not paying my bills. The operator XXXX XXXX was extremely unprofessional and he pushed my buttons. I was ultimately able to learn that debit was reported for {$1800.00}, not the original settlement amount of {$240.00} to end the contract. I also learned that that XXXX XXXX provided them with an incorrect contact information. This was the original reason for the breach of contract with XXXX XXXX. This is not the first time that this company has referred this issue to a debt collection agency after settling the debit through the claim with XXXX. 

I will obtain a copy of the filing with XXXX ... this can be supplied at a later date."
524772,Debt collection,"Disregard the above paragraph, none of your choices fit. We sold our home on XXXX/XXXX/2016, and BMO was paid off by the closing agency. 
the problem is we have not received our escrow balance."
590768,Credit reporting,FRAUDULENT INQUIRES WERE INITIATED ON MY CREDIT FILE. REMOVE FRAUDULENT INQUIRY FROM CREDIT FILE.
221351,Consumer Loan,"I was financed by Toyota financial services XXXX@22.9 % interest my credit score at the time was XXXX and so was my cosigner low XXXX 's. the terms of the loan were for 60 months, I asked for a simple interest loan. I was told if I paid early my money would apply towards the principal balance, that did not happen, all my payments were applied mainly to interest and a very small portion to principal. During the course of my loan I did take XXXX deferments with the understanding that they would be added to the end of my loan. So my maturity date would have been XX/XX/XXXX but it ended XX/XX/XXXX. 
So each month I was paying a little more than the balance due to help prevent further interest charges, but I did not see any benefit during the life of my loan. 
Every statement did not have any late fees or "" other charges '' due on my statements, then I look at my final payment on XXXX/XXXX/16 for {$3900.00}, I was appalled. Where did those charges come from? 
I inquired with Toyota Financial and they advised it was from my XXXX deferments, and interest during that time. 
{$3900.00} in interest and fees? That is unfair, unreasonable, deceptive and predatory. 
I have asked three times for my payment history and have not received it. 
I took out a loan to pay my final payment of {$3900.00} because I did not want my account to charge off or to not receive my title."
455688,Debt collection,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY!"
245659,Money transfers,"I found in my email a message from website : XXXX paid a mere {$4.00}, {$2.00} in International card handling fee, and another $ XXXX for a product I have never received. I attempted to contact the company and reached a call center. The agent did not apologize for telling me the he was sorry I have not received my prodcuts, but "" ... you will have to contact the USPS becasue that is just shipping money ... '' Yet, he REFUSED to provide me with any tracking information and refused to refund the money, which is not much. But I believe these are shady business practices. I have emails but can not get them attached ... The sum of {$7.00} is broken into the following in my FROST BANK account - {$4.00}. XXXX, {$1.00} XXXX card Fee XXXX/XXXX/15, {$1.00} XXXX XXXX XXXX several days later, {$.00} XXXX/XXXX/15"
117564,Credit reporting,Opened an account with XXXX in XX/XX/XXXX -- they back dated this account to my member service date of XX/XX/XXXX -- this account has been reporting an opening date of XX/XX/XXXX for the past XXXX years -- just recently for no explained reason trans union reported closing this account dated XX/XX/XXXX and opening a new account dated XX/XX/XXXX -- same account! This dropped my credit score XXXX points -- called XXXX and they said it should reflect an opening date of XX/XX/XXXX -- they said i needed to dispute with trans union.
38038,Credit reporting,"Transunion charged my credit card without my knowledge or consent. They charged my card 22 months at XXXX a month. At no point did I agree to pay them. Their month charges costs me over limit fees, interests costs, and they refused to fix this problem. The manager said that they will make a note on the account to not make any refunds. I believe that I am a victim of a scam. Transunion should not have been charging my card for any reason."
750068,Debt collection,"Professional Credit Management of XXXX, AR ( PCM ) intentionally and illegally reported and continues to report false information to Equifax. I had a procedure in XXXX of XXXX. They originally reported the date of first delinquency as XXXX of XXXX, three months prior to the date of service. Pursuant to the Fair Credit Reporting Act ( FCRA ) they must report accurate to the credit bureaus. I have their manager, XXXX XXXX, on a recorded call stating that they do indeed report false information so the information will come off sooner. Reporting false information is still illegal. Since then, PCM has reported the debt as unpaid when it has been paid and now they 've changed it again. In the last 2 months PCM has reported several different false reports, defamed my character, and jeopardized my ability to get sound interest rates. PCM should be shut down immediately and required to cease operations. I am also asking the CFPB to do a full audit of PCM."
