"Label","Tweet"
"leave","Correct that's because, Mr #Blair you never got a single big #EU decision right when #PM\n#BRexit https://t.co/Tv6U5bH3Dl"
"leave","Safer In #EU? No! No! No! Terrorists want the UK to STAY https://t.co/qLfOz27XhN Remember 7/7 Paris #Brussels #EUreferendum #remain #brexit"
"stay","@StrongerIn @David_Cameron well he's been shown to be a liar too"
"leave","This. https://t.co/WRtzpWsxiT"
"stay","Sadiq Khan's viewpoint on the EU Referendum #Euref #LondonMayor #StrongerIN https://t.co/Uuuv1DI46E"
"stay","What would Brexit mean for marketers? https://t.co/6eJhD1sbe2"
"leave","@lasancmt @whitford747 Agreed. EU accts are signed off - doesn't mean they look good, but whose do? 10 yr stagnation the problem. #brexit"
"stay","EU referendum: Donald Trump backs Brexit (virtually guaranteeing that it will fail) | BBC https://t.co/H1DpSCGom2"
"stay","Another report confirms #Brexit would cause massive uncertainty for working people https://t.co/qv4Ik5xKUQ https://t.co/cc0pgc8PZO"
"leave","We're going to be swamped by Turks and other foreigners, seems to be the extent of the brexit argument.#bbcqt"
"leave","#Lexit not #brexit! Public event with great speakers incl MP Graham Stringer \u0026amp; more. 4pm, 11th June @PHMMcr. #bbcqt https://t.co/gWsdq6b6kd"
"leave","@StrongerIn @StrongerInPress Last I heard it was 1 man/woman 1 vote. So the boss has 1 \u0026amp; all his workers have 1 each #VoteLeave save the UK"
"leave","good morning at the gym, persuaded an \""In\"" that \""out\"" was the best option, explaining TTIP usually does the trick #Brexit #winning"
"stay","If you still need a reason to vote to stay in... Donald Trump backs Brexit https://t.co/9byYiXnDoP"
"stay","@nanette0803 @viking_tiger @certual @LeaveEUOfficial what about every other country they have visa free agreements with? Worried about them?"
"leave","@vote_leave I have already voted on this issue pls RT and get as many signatures as possible @saveourwildlife #TakeControl @vote_leave"
"leave","voting brexit because of zero public transport etiquette by specific groups.petty but I wouldn't put a price on peace \u0026amp; quiet."
"leave","Atlas Crumbles Under Weight of Italian Banks https://t.co/OgZHRKuTze via @MishGEA #EUref #VoteLeave #Brexit"
"leave","@austeni Well in accordance with [CCC 1883] and [CCC 1885] I think we can still vote for #Brexit"
"leave","@Independent hang on let's forget his presidential run. A billionaire businessman with investment in uk supports brexit."
"leave","Forgotten something Mr Cameron? PM in U-turn after backing Turkey to join the EU https://t.co/AygQXxC3fH #DavidCameron"
"leave","@jeremeycorbyn #VoteLeave"
